chart,year,chartEntriesFound,lyricsFound,songsContainingDrinkingWords,percentageOfSongsWithDrinking
Christian,2013,49,46,0.0,0.0
Christian,2014,100,91,1.0,0.01
Christian,2015,50,48,0.0,0.0
Christian,2016,50,47,0.0,0.0
Christian,2017,100,91,0.0,0.0
Country,2013,100,100,33.0,0.33
Country,2014,100,98,41.0,0.41
Country,2015,100,97,48.0,0.48
Country,2016,100,98,41.0,0.41
Country,2017,100,97,36.0,0.36
Dance/Electronic,2013,99,88,8.0,0.08080808080808081
Dance/Electronic,2014,100,88,7.0,0.07
Dance/Electronic,2015,100,88,3.0,0.03
Dance/Electronic,2016,100,93,7.0,0.07
Dance/Electronic,2017,100,92,18.0,0.18
Hot100,2013,100,94,13.0,0.13
Hot100,2014,100,96,14.0,0.14
Hot100,2015,100,92,14.0,0.14
Hot100,2016,99,95,19.0,0.1919191919191919
Hot100,2017,100,99,27.0,0.27
Pop,2013,50,47,4.0,0.08
Pop,2014,50,49,5.0,0.1
Pop,2015,49,45,3.0,0.061224489795918366
Pop,2016,50,49,9.0,0.18
Pop,2017,50,50,13.0,0.26
R&B/Hip-Hop,2013,100,87,27.0,0.27
R&B/Hip-Hop,2014,100,84,24.0,0.24
R&B/Hip-Hop,2015,25,21,5.0,0.2
R&B/Hip-Hop,2016,98,91,25.0,0.25510204081632654
R&B/Hip-Hop,2017,100,96,27.0,0.27
Rock,2013,100,99,5.0,0.05
Rock,2014,100,97,6.0,0.06
Rock,2015,100,94,11.0,0.11
Rock,2016,100,96,12.0,0.12
Rock,2017,100,97,11.0,0.11
